"Reference","Quantity","Value","Digi-Key Part #"
"C1, C2, ","2","100uF","399-A768EB107M1ELAE036DKR-ND"
"C3, C4, C5, C6, C7, C8, C9, C10, C14, C16, C18, C19, C20, C21, C22, C23, C24, C25, C27, C28, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C52, C53, C54, C55, C57, C61, C64, C65, C66, C67, C68, C70, C71, C72, ","47","100nF","478-10836-1-ND"
"C11, C12, C13, C26, ","4","10nF","311-1136-1-ND"
"C15, C29, C44, C45, C46, C47, C48, C49, ","8","47pF","1276-1037-1-ND"
"C17, C56, C69, ","3","1uF","1276-1029-1-ND"
"C43, C60, ","2","1uF","1276-1029-1-ND"
"C58, C63, ","2","10uF","1276-1029-1-ND"
"C73, ","1","4.7nF 1KV","1276-1029-1-ND"
"D1, D2, D3, D4, D5, D6, D7, D8, D13, D14, D15, D16, D17, D18, D19, D39, D40, D41, D42, D45, D46, ","21","1N5819","478-7800-1-ND"
"D9, ","1","BLUE LED","732-11401-ND"
"D10, ","1","YELLOW LED","732-5010-ND"
"D11, ","1","RED LED","732-5005-ND"
"D12, ","1","GREEN LED","732-5007-ND"
"D25, D26, D27, D28, D33, D34, D35, D36, D37, D38, ","10","LED_RG","754-WP937SURKCGKW-ND"
"J5, ","1","Display Header","SAM1087-04-ND"
"J6, ","1","EU Power","S2011EC-05-ND"
"J7, ","1","Conn_01x02_Male","609-4938-ND"
"J20, ","1","Conn_01x02","609-2997-ND"
"J21, ","1","OLED Pins","MTLW-104-05-G-S-170-ND"
"J22, ","1","USB-C","2223-UJ20-C-V-C-3-SMT-TRCT-ND"
"N5, N6, ","2","Nut","36-4687-ND"
"R1, R2, R3, R4, R32, R37, R56, R57, R68, R125, R126, R127, R128, ","13","10K","13-RC0805JR-1010KLCT-ND"
"R5, R6, R8, R62, ","4","200","RNCP0805FTD1K00CT-ND"
"R7, R49, R50, R51, R87, ","5","330","RMCF0603FT23K7CT-ND"
"R9, R11, R12, R13, R14, R15, R16, R17, R18, R19, R21, R22, R40, R41, R42, R43, R44, R45, R46, R47, R78, R142, R143, ","23","100K .1%","YAG1759CT-ND"
"R10, R61, ","2","270","RMCF0603FT23K7CT-ND"
"R24, R25, R26, R27, R52, R53, R54, R55, ","8","680K .1%","P332KDACT-ND"
"R28, R33, ","2","60.4K .1%","P30.1KDACT-ND"
"R29, R31, R34, R36, ","4","10K .1%","P10KDACT-ND"
"R30, R35, R88, R89, R90, R92, ","6","4.7K","RMCF0805FT4K70CT-ND"
"R38, R39, R69, R70, R71, R72, R97, R98, R99, R100, ","10","1K","RNCP0805FTD1K00CT-ND"
"R48, ","1","4.7K","RMCF0805FT4K70CT-ND"
"R58, R59, R60, R63, R64, R65, ","6","51K","RMCF0805JT33K0CT-ND"
"R66, R67, R86, ","3","10K","RMCF0603FT23K7CT-ND"
"R73, R74, R75, R93, R94, R95, R96, R101, ","8","1K .5W","PPC470W-1CT-ND"
"R76, R79, R80, R81, R82, ","5","1K","RNCP0603FTD1K00CT-ND"
"R77, ","1","20K 1%","RMCF0603FT23K7CT-ND"
"R85, ","1","31.6K","RMCF0603FT23K7CT-ND"
"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8, ","8","50K","118-TC33X-1-503ECT-ND"
"RV9, ","1","10K","3224W-1-103GCT-ND"
"SO1, SO2, SO3, SO4, SO5, SO6, SO7, SO8, SO9, SO10, SO11, SO12, SO13, SO14, ","14","LED_Standoff","732-11594-ND"
"SO29, SO30, ","2","DisplayStandoff","732-13045-ND"
"SW1, SW2, SW3, SW4, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, ","16","Push Button","450-1642-ND"
"SW5, ","1","Adj","3746-MERP12-24225M9GR-ND"
"SW18, ","1","Red Push Button","2-1825910-8-ND"
"TP1, TP2, TP16, TP17, ","4","TestPoint","36-5006-ND"
"TP3, TP4, TP5, TP14, TP15, TP18, TP19, TP20, ","8","TestPoint","36-5002-ND"
"U1, U2, U4, U5, U7, U8, U9, U10, U12, U14, U17, U18, U19, ","13","TL072CDR","296-1282-1-ND"
"U3, ","1","GD25Q128ESIGR","1970-GD25Q128ESIGRCT-ND"
"U6, ","1","AD5328","505-AD5328ARUZ-REEL7CT-ND"
"U11, ","1","ADS1015IDGS","296-25227-1-ND"
"U15, ","1","CJ431","AS431HANTR-G1DICT-ND"
"U16, ","1","MB85RC256","865-1261-1-ND"
