"Reference","Quantity","Value","Digi-Key Part #"
"D9, ","1","BLUE LED","732-11401-ND"
"D10, ","1","YELLOW LED","732-5010-ND"
"D11, ","1","RED LED","732-5005-ND"
"D12, ","1","GREEN LED","732-5007-ND"
"D25, D26, D27, D28, D33, D34, D35, D36, D37, D38, ","10","LED_RG","754-WP937SURKCGKW-ND"
"J5, ","1","Display Header","SAM1087-04-ND"
"J20, ","1","Conn_01x02","609-2997-ND"
"J21, ","1","OLED Pins","MTLW-104-05-G-S-170-ND"
"J22, ","1","USB-C","2223-UJ20-C-V-C-3-SMT-TRCT-ND"
"N5, N6, ","2","Nut","36-4687-ND"
"SO1, SO2, SO3, SO4, SO5, SO6, SO7, SO8, SO9, SO10, SO11, SO12, SO13, SO14, ","14","LED_Standoff","732-11594-ND"
"SO29, SO30, ","2","DisplayStandoff","732-13045-ND"
"SW1, SW2, SW3, SW4, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, ","16","Push Button","450-1642-ND"
"SW5, ","1","Adj","3746-MERP12-24225M9GR-ND"
"SW18, ","1","Red Push Button","2-1825910-8-ND"
