Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Elec_6.3x5.4_Nichicon",-61.700000,-95.350000,0.000000,bottom
"C2","100uF","CP_Elec_6.3x5.4_Nichicon",-61.750000,-87.025000,-90.000000,bottom
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-96.050000,-86.100000,-90.000000,bottom
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-94.950000,-75.700000,180.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-96.000000,-98.100000,-90.000000,bottom
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-90.000000,-89.600000,0.000000,bottom
"C7","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-106.350000,-56.700000,0.000000,bottom
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-64.550000,-110.850000,-90.000000,bottom
"C9","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-53.500000,-92.450000,0.000000,bottom
"C10","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-72.850000,-87.900000,-90.000000,bottom
"C11","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-83.200000,-88.500000,90.000000,bottom
"C12","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-79.950000,-96.400000,180.000000,bottom
"C13","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-79.800000,-131.500000,0.000000,bottom
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-66.425000,-91.000000,-90.000000,bottom
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-67.650000,-103.850000,-90.000000,bottom
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-80.600000,-114.837500,90.000000,bottom
"C17","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-72.550000,-99.600000,-90.000000,bottom
"C18","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-77.500000,-92.000000,-90.000000,bottom
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-96.000000,-148.150000,-90.000000,bottom
"C20","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-90.000000,-139.650000,0.000000,bottom
"C21","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-96.050000,-124.200000,-90.000000,bottom
"C22","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-90.000000,-115.650000,0.000000,bottom
"C23","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-78.012500,-154.250000,180.000000,bottom
"C24","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-76.800000,-126.600000,90.000000,bottom
"C25","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-100.475000,-133.500000,180.000000,bottom
"C26","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-91.900000,-131.150000,0.000000,bottom
"C27","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-83.350000,-123.525000,0.000000,bottom
"C28","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-88.800000,-134.600000,90.000000,bottom
"C29","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-109.500000,-154.200000,180.000000,bottom
