Ref,Val,Package,PosX,PosY,Rot,Side
"D9","BLUE LED","LED_D3.0mm",76.690000,-124.000000,180.000000,top
"D10","YELLOW LED","LED_D3.0mm",76.690000,-136.000000,180.000000,top
"D11","RED LED","LED_D3.0mm",76.690000,-148.000000,180.000000,top
"D12","GREEN LED","LED_D3.0mm",76.690000,-112.000000,180.000000,top
"D25","LED_RG","LED_D3.0mm",101.720000,-62.350000,0.000000,top
"D26","LED_RG","LED_D3.0mm",101.720000,-74.000000,0.000000,top
"D27","LED_RG","LED_D3.0mm",101.720000,-86.000000,0.000000,top
"D28","LED_RG","LED_D3.0mm",101.720000,-98.000000,0.000000,top
"D33","LED_RG","LED_D3.0mm",101.720000,-112.000000,0.000000,top
"D34","LED_RG","LED_D3.0mm",101.720000,-124.000000,0.000000,top
"D35","LED_RG","LED_D3.0mm",101.720000,-136.000000,0.000000,top
"D36","LED_RG","LED_D3.0mm",101.720000,-148.000000,0.000000,top
"D37","LED_RG","LED_D3.0mm",81.600000,-122.000000,0.000000,top
"D38","LED_RG","LED_D3.0mm",81.600000,-146.000000,0.000000,top
"J1","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",65.370000,-112.000000,90.000000,top
"J2","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",65.370000,-124.000000,90.000000,top
"J3","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",65.370000,-136.000000,90.000000,top
"J4","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",65.370000,-148.000000,90.000000,top
"J5","Display Header","OLED_Header_Slim",71.940000,-53.000000,0.000000,top
"J8","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-62.000000,90.000000,top
"J9","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-74.000000,90.000000,top
"J10","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-86.000000,90.000000,top
"J11","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-98.000000,90.000000,top
"J12","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-112.000000,90.000000,top
"J13","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-124.000000,90.000000,top
"J14","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-136.000000,90.000000,top
"J15","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-148.000000,90.000000,top
"J16","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",82.870000,-112.000000,0.000000,top
"J17","3.5mm Jack","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",82.870000,-136.000000,0.000000,top
"J22","USB-C","CUI_UJ20-C-V-C-3-SMT-TR",54.250000,-80.500000,-90.000000,top
"SW1","Push Button","SW_PUSH_6mm",52.000000,-115.250000,90.000000,top
"SW2","Push Button","SW_PUSH_6mm",52.000000,-127.250000,90.000000,top
"SW3","Push Button","SW_PUSH_6mm",52.000000,-139.250000,90.000000,top
"SW4","Push Button","SW_PUSH_6mm",52.000000,-151.250000,90.000000,top
"SW5","Adj","RotaryEncoder_MERP12_24",75.700000,-93.600000,0.000000,top
"SW6","Push Button","SW_PUSH_6mm",61.100000,-62.100000,180.000000,top
"SW7","Push Button","SW_PUSH_6mm",61.100000,-69.800000,180.000000,top
"SW8","Push Button","SW_PUSH_6mm",67.200000,-80.500000,0.000000,top
"SW9","Push Button","SW_PUSH_6mm",77.700000,-80.500000,0.000000,top
"SW10","Push Button","SW_PUSH_6mm",94.220000,-65.600000,90.000000,top
"SW11","Push Button","SW_PUSH_6mm",94.220000,-77.250000,90.000000,top
"SW12","Push Button","SW_PUSH_6mm",94.220000,-89.250000,90.000000,top
"SW13","Push Button","SW_PUSH_6mm",94.220000,-101.250000,90.000000,top
"SW14","Push Button","SW_PUSH_6mm",94.220000,-115.250000,90.000000,top
"SW15","Push Button","SW_PUSH_6mm",94.220000,-127.250000,90.000000,top
"SW16","Push Button","SW_PUSH_6mm",94.220000,-139.250000,90.000000,top
"SW17","Push Button","SW_PUSH_6mm",94.220000,-151.250000,90.000000,top
"SW18","Red Push Button","SW_PUSH_6mm",103.900000,-56.000000,180.000000,top
