Ref,Val,Package,PosX,PosY,Rot,Side
"GR1","small_logo","small_face",38.390000,-163.430000,0.000000,top
"H5","Adj","RotaryEncoder_6.4mm",75.700000,-99.600000,90.000000,top
"H6","Trigger Jack 0","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",65.370000,-112.000000,90.000000,top
"H7","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",65.370000,-124.000000,90.000000,top
"H8","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",65.370000,-136.000000,90.000000,top
"H9","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",65.370000,-148.000000,90.000000,top
"H10","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-62.000000,90.000000,top
"H11","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-74.000000,90.000000,top
"H12","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-86.000000,90.000000,top
"H21","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-98.000000,90.000000,top
"H22","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-112.000000,90.000000,top
"H23","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-124.000000,90.000000,top
"H24","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-136.000000,90.000000,top
"H25","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",112.770000,-148.000000,90.000000,top
"H26","MountingHole","PushButton3.7mm",94.220000,-65.600000,90.000000,top
"H27","MountingHole","PushButton3.7mm",94.220000,-77.250000,90.000000,top
"H28","MountingHole","PushButton3.7mm",94.220000,-89.250000,90.000000,top
"H29","MountingHole","PushButton3.7mm",94.220000,-101.250000,90.000000,top
"H30","MountingHole","PushButton3.7mm",94.220000,-115.250000,90.000000,top
"H31","MountingHole","PushButton3.7mm",94.220000,-127.250000,90.000000,top
"H32","MountingHole","PushButton3.7mm",94.220000,-139.250000,90.000000,top
"H33","MountingHole","PushButton3.7mm",94.220000,-151.250000,90.000000,top
"H34","MountingHole","PushButton3.7mm",52.000000,-115.250000,90.000000,top
"H35","MountingHole","PushButton3.7mm",52.000000,-127.250000,90.000000,top
"H36","MountingHole","PushButton3.7mm",52.000000,-139.250000,90.000000,top
"H37","MountingHole","PushButton3.7mm",52.000000,-151.250000,90.000000,top
"H38","MountingHole","PushButton3.7mm",61.100000,-62.100000,180.000000,top
"H39","MountingHole","PushButton3.7mm",61.100000,-69.800000,180.000000,top
"H40","MountingHole","PushButton3.7mm",67.200000,-80.500000,0.000000,top
"H41","MountingHole","PushButton3.7mm",77.700000,-80.500000,0.000000,top
"H42","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",82.870000,-112.000000,0.000000,top
"H43","MountingHole","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",82.870000,-136.000000,0.000000,top
"H46","MountingHole","4mmLED_SeeThru",101.720000,-62.350000,0.000000,top
"H47","MountingHole","4mmLED_SeeThru",101.720000,-74.000000,0.000000,top
"H48","MountingHole","4mmLED_SeeThru",101.720000,-86.000000,0.000000,top
"H49","MountingHole","4mmLED_SeeThru",101.720000,-98.000000,0.000000,top
"H50","MountingHole","4mmLED_SeeThru",101.720000,-112.000000,0.000000,top
"H51","MountingHole","4mmLED_SeeThru",101.720000,-124.000000,0.000000,top
"H52","MountingHole","4mmLED_SeeThru",101.720000,-136.000000,0.000000,top
"H53","MountingHole","4mmLED_SeeThru",101.720000,-148.000000,0.000000,top
"H64","MountingHole","USB_C_Slot_Big",54.750000,-77.150000,0.000000,top
"H65","MountingHole","PushButton3.7mm",103.900000,-56.000000,180.000000,top
"H66","Activate LED","3mmLED_seethru_small",74.430000,-101.750000,0.000000,top
